iyear,imonth,iday,country,country_txt,region,region_txt,provstate,city,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,weaptype1,weaptype1_txt,,,,,
2000,1,1,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Peje,3,Bombing/Explosion,14,Private Citizens & Property,76,House/Apartment/Residence,Civilians,6,Explosives,,,,,
2000,1,1,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Gorazhdec,2,Armed Assault,14,Private Citizens & Property,71,Race/Ethnicity Identified,Civilians,5,Firearms,,,,,
2000,1,1,185,Spain,8,Western Europe,Basque Country,Galdacano,2,Armed Assault,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Spanish Civil Guard,8,Incendiary,,,,,
2000,1,1,185,Spain,8,Western Europe,Basque Country,Guernica,2,Armed Assault,1,Business,3,Bank/Commerce,Bank,8,Incendiary,,,,,
2000,1,2,75,Germany,8,Western Europe,Thuringia,Erfurt,2,Armed Assault,2,Government (General),18,Government Personnel (excluding police, military),Thuringian Interior Ministry,8,Incendiary,,,,
2000,1,3,78,Greece,8,Western Europe,Attica,Athens,7,Facility/Infrastructure Attack,7,Government (Diplomatic),45,Diplomatic Personnel (outside of embassy, consulate),Jordanian Ministry of Foreign Affairs,8,Incendiary,,,,
2000,1,4,185,Spain,8,Western Europe,Basque Country,Durango,2,Armed Assault,4,Military,27,Military Barracks/Base/Headquarters/Checkpost,Spanish Civil Guard,8,Incendiary,,,,,
2000,1,4,78,Greece,8,Western Europe,Attica,Athens,3,Bombing/Explosion,1,Business,3,Bank/Commerce,National Bank of Greece,6,Explosives,,,,,
2000,1,5,185,Spain,8,Western Europe,Basque Country,Donostia-San Sebastian,2,Armed Assault,1,Business,7,Retail/Grocery/Bakery,,8,Incendiary,,,,,
2000,1,5,185,Spain,8,Western Europe,Basque Country,Andoain,2,Armed Assault,2,Government (General),15,Politician or Political Party Movement/Meeting/Rally,Basque Socialist Party (PSE-EE),6,Explosives,,,,,
2000,1,6,185,Spain,8,Western Europe,Basque Country,Donostia-San Sebastian,7,Facility/Infrastructure Attack,1,Business,3,Bank/Commerce,Banco Guipuzcoano,8,Incendiary,,,,,
2000,1,6,167,Russia,9,Eastern Europe,Chechnya (Republic),Chervlennaya,3,Bombing/Explosion,2,Government (General),18,Government Personnel (excluding police, military),,6,Explosives,,,,
2000,1,7,179,Slovak Republic,9,Eastern Europe,Bratislava (Region),Bratislava,2,Armed Assault,1,Business,7,Retail/Grocery/Bakery,,8,Incendiary,,,,,
